channel_cost,mean_lifetime,std_lifetime,extinction_count,mean_peak_pop,mean_total_cells,mean_area_under_pop,mean_avg_channels
0.0,112.0,1.183,10,100.0,7310.2,7308.55,90.746
0.005,111.7,0.781,10,100.0,7286.5,7284.95,90.72
0.01,111.3,0.781,10,100.0,7247.0,7245.3,90.782
0.015,110.8,0.748,10,100.0,7205.1,7203.65,90.527
0.02,110.7,0.64,10,100.0,7169.9,7167.9,90.132
0.025,110.0,0.894,10,100.0,7138.3,7136.65,90.405
0.03,110.4,1.281,10,100.0,7088.4,7086.65,89.611
0.035,109.2,1.077,10,100.0,7062.2,7060.05,90.208
0.04,108.7,0.9,10,100.0,7015.1,7013.2,90.038
0.045,107.4,0.8,10,100.0,6984.6,6982.75,90.367
0.05,107.3,0.458,10,100.0,6951.4,6949.5,89.823
0.055,106.5,0.671,10,100.0,6916.6,6915.05,90.314
0.06,106.4,0.663,10,100.0,6874.8,6873.35,89.67
0.065,105.4,1.114,10,100.0,6845.5,6844.4,90.405
0.07,105.1,0.7,10,100.0,6803.9,6801.9,90.302
0.075,104.5,0.671,10,100.0,6764.2,6762.85,89.901
0.08,104.2,0.6,10,100.0,6729.3,6727.25,89.98
0.085,103.7,1.1,10,100.0,6693.3,6691.1,89.489
0.09,103.9,0.831,10,100.0,6654.5,6652.45,89.152
0.095,102.6,0.663,10,100.0,6629.8,6628.4,89.783
0.1,102.5,1.025,10,100.0,6582.6,6580.55,89.566
0.105,101.6,0.49,10,100.0,6555.1,6553.6,89.791
0.11,100.9,1.3,10,100.0,6515.0,6513.3,89.863
0.115,100.1,0.831,10,100.0,6483.0,6481.25,89.909
0.12,100.9,0.943,10,100.0,6438.0,6436.35,88.587
0.125,99.8,0.98,10,100.0,6407.7,6406.15,89.457
0.13,99.3,0.9,10,100.0,6367.1,6365.45,89.553
0.135,98.4,0.917,10,100.0,6327.6,6326.15,89.955
0.14,98.6,1.02,10,100.0,6281.3,6279.45,89.086
0.145,97.6,0.663,10,100.0,6257.0,6255.45,89.051
0.15,97.7,1.418,10,100.0,6212.8,6210.85,89.064
0.155,96.2,0.748,10,100.0,6174.3,6172.8,89.901
0.16,96.4,1.02,10,100.0,6147.0,6145.55,89.304
0.165,95.7,0.64,10,100.0,6106.2,6104.45,89.2
0.17,95.5,0.671,10,100.0,6076.8,6075.65,89.208
0.175,94.8,1.166,10,100.0,6018.4,6017.05,89.716
0.18,94.7,0.9,10,100.0,5980.2,5977.8,89.328
0.185,93.8,1.077,10,100.0,5942.8,5941.2,89.221
0.19,94.1,0.943,10,100.0,5918.1,5916.05,88.881
0.195,92.9,0.943,10,100.0,5874.9,5873.2,90.281
0.2,93.3,0.9,10,100.0,5822.1,5820.3,89.224
0.205,92.2,0.748,10,100.0,5792.9,5790.8,90.085
0.21,91.8,0.748,10,100.0,5757.9,5756.45,90.193
0.215,91.2,0.872,10,100.0,5715.8,5714.35,90.197
0.22,90.9,1.446,10,100.0,5657.6,5655.95,89.903
0.225,89.8,0.748,10,100.0,5641.1,5639.25,90.609
0.23,89.9,1.044,10,100.0,5599.7,5598.15,89.843
0.235,89.3,0.64,10,100.0,5567.6,5566.2,89.909
0.24,89.3,1.1,10,100.0,5516.6,5514.65,89.267
0.245,88.2,0.748,10,100.0,5476.6,5474.8,89.721
0.25,88.5,1.118,10,100.0,5441.2,5439.6,88.919
0.255,87.1,1.513,10,100.0,5401.8,5400.15,89.872
0.26,86.7,1.418,10,100.0,5361.2,5359.35,89.499
0.265,86.5,0.671,10,100.0,5331.3,5329.85,89.606
0.27,85.7,1.005,10,100.0,5288.5,5287.25,89.247
0.275,85.9,0.943,10,100.0,5249.3,5247.65,88.831
0.28,84.6,1.428,10,100.0,5214.2,5212.95,89.036
0.285,85.1,1.044,10,100.0,5167.3,5165.4,88.709
0.29,84.1,0.831,10,100.0,5134.8,5133.4,89.152
0.295,84.4,0.917,10,100.0,5083.9,5082.05,88.173
0.3,83.2,1.166,10,100.0,5048.6,5047.35,88.674
0.305,82.6,1.2,10,100.0,5008.0,5006.15,88.722
0.31,82.7,1.345,10,100.0,4964.3,4962.75,88.018
0.315,83.5,1.746,10,100.0,4920.8,4919.45,87.74
0.32,82.6,1.02,10,100.0,4885.7,4884.7,87.993
0.325,81.8,1.72,10,100.0,4842.5,4841.5,88.871
0.33,81.0,1.0,10,100.0,4808.4,4807.4,88.807
0.335,80.5,1.36,10,100.0,4757.9,4756.9,87.593
0.34,81.1,1.221,10,99.9,4719.8,4718.8,87.694
0.345,80.2,1.4,10,100.0,4679.5,4678.5,88.142
0.35,79.0,1.612,10,100.0,4639.4,4638.4,89.074
0.355,79.2,0.872,10,100.0,4602.3,4601.3,87.978
0.36,78.8,1.4,10,100.0,4563.7,4562.7,88.517
0.365,78.3,1.487,10,100.0,4509.0,4508.0,88.074
0.37,78.5,1.118,10,100.0,4463.5,4462.5,87.381
0.375,78.6,1.02,10,99.9,4426.8,4425.8,86.364
0.38,77.8,1.166,10,100.0,4377.2,4376.2,87.446
0.385,77.0,1.414,10,99.9,4345.4,4344.4,87.26
0.39,77.8,2.135,10,99.9,4310.1,4309.1,87.562
0.395,77.2,0.872,10,99.8,4255.2,4254.2,87.068
0.4,75.7,1.735,10,100.0,4204.6,4203.6,86.938
0.405,76.3,1.269,10,100.0,4190.3,4189.8,87.271
0.41,75.3,0.9,10,99.7,4142.9,4142.4,87.151
0.415,75.2,1.778,10,100.0,4096.1,4095.6,87.063
0.42,75.7,1.616,10,100.0,4057.6,4057.1,86.945
0.425,74.6,1.2,10,99.8,4012.6,4012.1,87.267
0.43,74.9,2.256,10,99.8,3979.8,3979.3,86.877
0.435,73.8,1.249,10,100.0,3929.5,3929.0,87.116
0.44,74.7,1.269,10,100.0,3890.5,3890.0,86.462
0.445,73.4,1.96,10,99.7,3848.6,3848.1,86.906
0.45,74.3,1.552,10,99.6,3821.9,3821.4,88.238
0.455,74.1,1.758,10,99.8,3777.6,3777.1,87.477
0.46,74.4,2.059,10,99.6,3718.2,3717.7,86.542
0.465,73.6,2.154,10,99.8,3695.5,3695.0,88.862
0.47,72.5,1.628,10,99.6,3626.7,3626.2,87.107
0.475,72.9,1.375,10,99.8,3617.2,3616.7,91.873
0.48,73.0,1.414,10,99.6,3548.6,3548.1,87.079
0.485,73.1,1.972,10,99.7,3506.7,3506.2,89.156
0.49,72.4,1.625,10,99.4,3488.2,3487.7,89.647
0.495,72.4,1.114,10,99.3,3420.3,3419.8,90.242
0.5,73.6,1.2,10,99.6,3366.4,3365.9,86.843
0.505,73.0,3.098,10,99.2,3348.4,3347.9,92.654
0.51,73.7,1.952,10,98.9,3284.2,3283.7,90.949
0.515,72.8,2.04,10,99.2,3244.8,3244.3,90.324
0.52,72.0,2.049,10,98.8,3220.3,3219.8,90.465
0.525,73.3,2.052,10,99.1,3191.4,3190.9,96.934
0.53,71.9,2.773,10,99.1,3139.7,3139.2,95.353
0.535,71.6,2.458,10,98.5,3087.5,3087.0,96.508
0.54,72.5,2.291,10,98.8,3079.6,3079.1,95.142
0.545,72.2,3.6,10,97.0,3012.6,3012.1,94.743
0.55,73.2,4.045,10,98.0,2961.7,2961.2,94.849
0.555,83.4,35.643,10,87.4,2709.5,2709.0,88.92
0.56,83.4,34.725,10,90.6,2710.2,2709.7,89.272
0.565,91.1,51.058,10,89.4,2647.3,2646.8,91.644
0.57,74.5,3.667,10,95.9,2837.8,2837.3,100.708
0.575,89.8,51.83,10,87.6,2605.1,2604.6,88.672
0.58,96.5,55.716,10,80.0,2388.0,2387.5,82.327
0.585,76.3,8.684,10,90.2,2545.9,2545.4,89.261
0.59,109.9,66.797,10,63.0,1926.9,1926.4,66.757
0.595,150.1,92.864,10,54.5,1715.3,1714.8,53.633
0.6,114.6,58.021,10,56.7,1741.4,1740.9,57.39
0.605,131.1,82.816,10,53.5,1657.5,1657.0,52.953
0.61,140.6,84.603,10,52.7,1607.6,1607.1,55.744
0.615,139.0,72.067,10,50.9,1591.3,1590.8,53.218
0.62,123.5,75.245,10,60.0,1744.3,1743.8,60.443
0.625,210.4,112.073,10,31.7,1168.1,1167.6,33.84
0.63,187.3,108.522,10,41.4,1310.4,1309.9,43.704
0.635,235.3,93.867,10,14.6,756.1,755.6,13.624
0.64,172.0,78.957,10,14.4,674.9,674.4,13.072
0.645,170.0,81.703,10,13.8,660.1,659.6,13.332
0.65,204.4,72.908,10,24.7,913.8,913.3,24.776
0.655,170.0,61.801,10,25.5,895.8,895.3,23.987
0.66,168.4,58.464,10,8.4,522.8,522.3,5.29
0.665,184.9,58.523,10,6.5,479.4,478.9,3.97
0.67,171.2,52.184,10,7.9,479.4,478.9,4.349
0.675,169.1,44.767,10,19.6,720.3,719.8,14.77
0.68,153.9,54.826,10,21.9,767.9,767.4,22.217
0.685,146.6,42.643,10,14.9,593.7,593.2,12.871
0.69,156.9,24.898,10,5.5,409.5,409.0,3.878
0.695,159.4,7.459,10,4.8,397.1,396.6,3.642
0.7,149.1,24.304,10,3.7,350.8,350.3,3.385
0.705,145.6,10.385,10,3.2,328.5,328.0,3.171
0.71,138.0,9.165,10,3.0,307.1,306.6,3.101
0.715,148.2,18.275,10,2.5,287.9,287.4,2.763
0.72,145.3,14.519,10,2.5,282.8,282.3,2.77
0.725,151.5,0.5,10,2.0,259.0,258.5,2.391
0.73,149.4,0.49,10,2.0,249.8,249.3,2.347
0.735,143.5,0.5,10,2.0,240.0,239.5,2.33
0.74,137.0,0.0,10,2.0,229.0,228.5,2.314
0.745,132.0,0.0,10,2.0,220.7,220.2,2.296
0.75,126.6,0.49,10,2.0,211.4,210.9,2.28
0.755,121.0,0.0,10,2.0,202.6,202.1,2.269
0.76,116.0,0.0,10,2.0,194.5,194.0,2.259
0.765,112.0,0.0,10,2.0,185.6,185.1,2.228
0.77,107.7,0.458,10,2.0,178.0,177.5,2.212
0.775,103.0,0.0,10,2.0,170.6,170.1,2.201
